id,nombre,apellido,email,telefono,direccion,nit,fechaRegistro,password,rol
u1,Nombre1,Apellido1,usuario1@mail.com,555-200001,Avenida 1 # 3,NIT001,2023-01-02,pass1,admin
u2,Nombre2,Apellido2,usuario2@mail.com,555-200002,Avenida 2 # 6,NIT002,2023-01-03,pass2,user
u3,Nombre3,Apellido3,usuario3@mail.com,555-200003,Avenida 3 # 9,NIT003,2023-01-04,pass3,user
u4,Nombre4,Apellido4,usuario4@mail.com,555-200004,Avenida 4 # 12,NIT004,2023-01-05,pass4,user
u5,Nombre5,Apellido5,usuario5@mail.com,555-200005,Avenida 5 # 15,NIT005,2023-01-06,pass5,user
u6,Nombre6,Apellido6,usuario6@mail.com,555-200006,Avenida 6 # 18,NIT006,2023-01-07,pass6,user
u7,Nombre7,Apellido7,usuario7@mail.com,555-200007,Avenida 7 # 21,NIT007,2023-01-08,pass7,user
u8,Nombre8,Apellido8,usuario8@mail.com,555-200008,Avenida 8 # 24,NIT008,2023-01-09,pass8,user
u9,Nombre9,Apellido9,usuario9@mail.com,555-200009,Avenida 9 # 27,NIT009,2023-01-10,pass9,user
u10,Nombre10,Apellido10,usuario10@mail.com,555-200010,Avenida 10 # 30,NIT010,2023-01-11,pass10,user
u11,Nombre11,Apellido11,usuario11@mail.com,555-200011,Avenida 11 # 33,NIT011,2023-01-12,pass11,user
u12,Nombre12,Apellido12,usuario12@mail.com,555-200012,Avenida 12 # 36,NIT012,2023-01-13,pass12,user
u13,Nombre13,Apellido13,usuario13@mail.com,555-200013,Avenida 13 # 39,NIT013,2023-01-14,pass13,user
u14,Nombre14,Apellido14,usuario14@mail.com,555-200014,Avenida 14 # 42,NIT014,2023-01-15,pass14,user
u15,Nombre15,Apellido15,usuario15@mail.com,555-200015,Avenida 15 # 45,NIT015,2023-01-16,pass15,user
u16,Nombre16,Apellido16,usuario16@mail.com,555-200016,Avenida 16 # 48,NIT016,2023-01-17,pass16,user
u17,Nombre17,Apellido17,usuario17@mail.com,555-200017,Avenida 17 # 51,NIT017,2023-01-18,pass17,user
u18,Nombre18,Apellido18,usuario18@mail.com,555-200018,Avenida 18 # 54,NIT018,2023-01-19,pass18,user
u19,Nombre19,Apellido19,usuario19@mail.com,555-200019,Avenida 19 # 57,NIT019,2023-01-20,pass19,user
u20,Nombre20,Apellido20,usuario20@mail.com,555-200020,Avenida 20 # 60,NIT020,2023-01-21,pass20,user
